x_Sanriku y_Sanriku ae_model_Sanriku an_model_Sanriku au_model_Sanriku ve_1998_model_Sanriku vn_1998_model_Sanriku vu_1998_model_Sanriku ve_2009_model_Sanriku vn_2009_model_Sanriku vu_2009_model_Sanriku
-1.0280415513712587e+02 1.4217793954976671e+02 -3.7013539133611850e-01 -8.9552654621172414e-02 6.3410347532418809e-02 9.4493380565956239e-03 1.4030744491971849e-03 -9.0997974589532142e-04 5.3778487518983207e-03 4.1799524836428834e-04 -2.1246592303871453e-04
-3.5608723066653567e+01 1.2620833519462867e+02 -1.5426512606866566e-01 -2.9978738221430146e-02 1.9353792262313735e-01 3.9205205257058793e-03 -8.1031430560815122e-04 -2.8568466107518425e-03 2.2236041389505569e-03 -1.1400804260438828e-03 -7.2792946189733168e-04
-1.1327975059475222e+02 1.1634327049817911e+02 -2.3976100399913564e-01 -7.7157259792692487e-02 3.2462552684820845e-02 6.5140782684340601e-03 1.2554807697664888e-03 -1.6763433789592397e-04 3.8767072244435680e-03 4.0675091204687134e-04 1.8945374163710532e-04
-7.1973456537455348e+01 1.1312492707961063e+02 -1.9934442835551061e-01 -5.2126247204936679e-02 1.0416408079560484e-01 5.2212265652854337e-03 2.0662857294427768e-04 -1.5482465958132181e-03 3.0284378533748167e-03 -3.6676014631002577e-04 -4.0244170706156475e-04
-4.9282839343316418e+01 1.0356256809874681e+02 -1.0797374636765321e-01 -1.8263316194896243e-02 1.1440733622777106e-01 3.0321324051245826e-03 -6.7202135354903550e-04 -1.6937149726678710e-03 1.8444211950803973e-03 -8.7291783169289421e-04 -4.3523427416238930e-04
-5.4482763643112179e+01 7.8091052079387481e+01 -6.1526158513021081e-02 3.4999812481007709e-03 6.5073311001727654e-02 1.9929214591831016e-03 -9.0096211257905778e-04 -9.0082607163402410e-04 1.3161337155398697e-03 -8.6246231884994930e-04 -1.8501965061501978e-04
-6.9083827676964319e+01 6.4780319157870309e+01 -6.1968072310929670e-02 -5.4441076648564400e-04 4.3014834380211316e-02 2.0103565767107213e-03 -6.7384983261603300e-04 -5.2022279008961361e-04 1.3287077812904949e-03 -6.7983835104737508e-04 -4.7059611907289132e-05
-1.1971335391763834e+02 5.5666002072963572e+01 -8.0177979501796406e-02 -2.8941138104953013e-02 8.6187096336858074e-03 2.5499253848288855e-03 2.3876924193650195e-04 2.6591605412627214e-04 1.6679676103091251e-03 -7.9583277217981237e-05 3.6072186009681603e-04
-1.3624797632150253e+02 4.8558345425935265e+01 -7.4753002446646497e-02 -3.2102634466687700e-02 1.2728407670267903e-03 2.4306225748566704e-03 4.0895088849150974e-04 4.0727469001192960e-04 1.6083395479435589e-03 5.5821909357945085e-05 4.2127593844922429e-04
-8.0017798732390105e+01 4.0440250771132519e+01 -4.2841445882265315e-02 5.3623611208830054e-03 2.1428578835610227e-02 1.5324234488811360e-03 -6.6529783482609478e-04 -1.4830934487178887e-04 1.0611675441762176e-03 -6.0631186249638172e-04 8.7405022319923654e-05
-1.0649073156114800e+02 2.4848100982153749e+01 -3.9839271521131536e-02 -3.2549580199776151e-03 7.0562250725094621e-03 1.4541940832372218e-03 -3.5846449902708296e-04 1.7067381912745809e-04 1.0159620965047749e-03 -3.9426903724683673e-04 2.4829229492506218e-04
-1.3254341313304019e+02 1.1053736645838088e+01 -3.5247098649453426e-02 -9.4182943199774341e-03 -7.7204165463191433e-04 1.3329195047425194e-03 -1.1055549595309192e-04 3.3922394574808801e-04 9.4520141959853171e-04 -2.1415673347284370e-04 3.3073148754713696e-04
