Veast_1998 Vnorth_1998 Veast_2009 Vnorth_2009
-6.64398504002 2.524391498 -5.4431956183 0.735190121897
-6.90262590021 3.52684445411 -7.56703168315 0.273617448034
-4.58790590944 1.79395720311 -5.2020743434 -0.815395873414
-3.25632530248 0.858602629951 -3.8284760237 -0.900868290255
-2.68921349674 1.65051493569 -2.74299443457 -0.765924057631
-11.1532905456 10.2343767096 -18.0749967026 9.11047132665
-9.84714428048 14.8355069196 -16.8181249502 9.6622351987
-19.9335585994 10.8690328047 -15.6604186682 5.09938155562
-7.76455663039 13.8712742511 -14.6596027355 7.86774875824
-16.9074769287 12.0325802493 -12.650272004 4.6169207759
-18.1494800189 8.271117195 -16.1339261532 4.18011202767
-7.82682115469 5.35333254166 -10.0911536816 1.85385768507
-6.78067010115 2.51866950573 -7.82210585349 0.699583054129
-18.9037759332 13.2670755899 -13.1212403004 4.82334185742
3.84390820075 2.83377457613 -1.68698028946 -0.413236672198
-12.3370313992 6.88708661581 -9.73253902403 2.69683972947
-6.73828698026 3.35443750554 -8.46203036598 2.06280932007
-0.899907106856 1.58124662685 -8.07635058287 1.64277872677
-6.11706708216 3.70789480964 -8.60796876643 1.94328953837
-9.68690628063 4.82215993514 -5.46789168251 0.73666562486
-8.19173239077 -1.24083807155 -7.65721654694 -0.0636497389572
-9.35003626677 2.23778456801 -7.32199041648 1.29598465599
-6.4245492814 0.210437415631 -6.99559889704 0.0179981439335
-8.32038240854 4.90355798569 -5.78538106606 3.44359563635
-8.0848159508 2.96229440673 -6.10736953454 -0.635406317599
-5.6831626108 2.71055474382 -4.84442954425 2.27293186741
-6.9305318474 2.75636245105 -5.95310847673 -0.547898036431
-4.22097758543 8.1189333175 -2.47712589264 5.64195580765
-4.04745607825 5.28707055257 -3.04920617354 2.98308396195
-5.61671602526 3.70587138607 -4.67317346083 -0.870401783227
-4.05223369652 0.781799572505 -3.8403833423 0.222294381475
-4.11643547576 -0.24076009369 -4.58089952374 -0.713832859559
-6.72710913006 2.98404175187 -2.74588644943 1.1115104923
-2.39990642557 7.30080282902 -1.47401359266 3.03640202251
-4.34322176115 0.511077968983 -2.96387817887 -0.333557622198
-6.82510982214 2.15073815709 -3.20015802382 -0.670575914488
-2.85133850614 2.85358919815 -2.42051718835 0.442198548571
-2.96765514925 5.34939692099 -1.04909480431 5.05588731898
-2.84856178968 3.12071613154 -2.0505784822 0.0497413607223
-0.33704835913 5.34982223345 -0.629398887134 2.85464037282
-2.64441733269 2.53532583736 -2.01340488826 -0.39042930676
-2.53822919846 1.59782763736 -2.16339216273 -0.589946964876
-0.965690194658 2.68871290768 -1.53818823394 -0.264716585412
-5.44959302702 0.0787209660823 -3.40912638197 -0.875087063777
