patch_id	centroid_lon	centroid_lat	node1_id	node1_lon	node1_lat	node2_id	node2_lon	node2_lat	node3_id	node3_lon	node3_lat	locking_probability_mean	locking_probability_std
6012	141.539673763595	36.8529962339897	3832	141.58559209218	36.8610565658028	3701	141.499390654564	36.825651361155	3702	141.534056150107	36.8722650721169	0	0
6013	141.545313738641	36.8337854949734	3832	141.58559209218	36.8610565658028	3831	141.550976074013	36.8146328525298	3701	141.499390654564	36.825651361155	0	0
6014	141.577912031191	36.7969331742976	3962	141.608465207771	36.8115318263766	3961	141.574295741908	36.7646276953613	3831	141.550976074013	36.8146328525298	0.651289009497965	0.476885951981162
6015	141.458968251048	36.6566982789365	3959	141.507316833367	36.6702175677978	3827	141.419163945464	36.6260026700695	3828	141.450446137319	36.6738580235768	1	0
6016	141.477548664673	36.740127142196	3829	141.483831739331	36.7208318915705	3699	141.431831120967	36.7316201949087	3830	141.517000665689	36.7679139904402	0.998643147896879	0.0368354734341879
6017	141.612448870989	36.8435762113034	3832	141.58559209218	36.8610565658028	3963	141.6432905302	36.8581330259518	3962	141.608465207771	36.8115318263766	0	0
6018	141.513929323279	36.7353673565719	3960	141.540956013316	36.7173491499135	3829	141.483831739331	36.7208318915705	3830	141.517000665689	36.7679139904402	0.998643147896879	0.0368354734341879
6019	141.547423889067	36.7823938780726	3831	141.550976074013	36.8146328525298	3961	141.574295741908	36.7646276953613	3830	141.517000665689	36.7679139904402	0.871099050203528	0.335317844368316
6020	141.374170464966	36.6168526245129	3697	141.366642353181	36.6365902227204	3827	141.419163945464	36.6260026700695	3696	141.336722269132	36.5879505209648	1	0
6021	141.480531393121	36.688304821331	3828	141.450446137319	36.6738580235768	3829	141.483831739331	36.7208318915705	3959	141.507316833367	36.6702175677978	1	0
6022	141.412078367714	36.6454886070244	3697	141.366642353181	36.6365902227204	3828	141.450446137319	36.6738580235768	3827	141.419163945464	36.6260026700695	1	0
6023	141.43805042549	36.712291587537	3698	141.398506037344	36.6844072936131	3699	141.431831120967	36.7316201949087	3829	141.483831739331	36.7208318915705	1	0
6024	141.311561973894	36.5208614254937	3695	141.304529338262	36.5402576022473	3825	141.356733538777	36.5302145552847	3694	141.273440625359	36.4920974506617	1	0
6025	141.415606545948	36.559211992653	3826	141.388833597285	36.5777387499507	3957	141.445196969746	36.5737754463323	3956	141.412789194275	36.5261149376318	1	0
6026	141.381567500069	36.5972354576435	3827	141.419163945464	36.6260026700695	3826	141.388833597285	36.5777387499507	3696	141.336722269132	36.5879505209648	1	0
6027	141.417731756051	36.592507896533	3827	141.419163945464	36.6260026700695	3957	141.445196969746	36.5737754463323	3826	141.388833597285	36.5777387499507	1	0
6028	141.544083952594	36.7499659732106	3961	141.574295741908	36.7646276953613	3960	141.540956013316	36.7173491499135	3830	141.517000665689	36.7679139904402	0.989145183175034	0.103689816655202
6029	141.444255420275	36.6930375292537	3828	141.450446137319	36.6738580235768	3698	141.398506037344	36.6844072936131	3829	141.483831739331	36.7208318915705	1	0
6030	141.309056166976	36.6067634472444	3566	141.280371679439	36.5919335183116	3567	141.310073493161	36.6403994817779	3696	141.336722269132	36.5879505209648	1	0
6031	141.405192347205	36.6649568025833	3698	141.398506037344	36.6844072936131	3828	141.450446137319	36.6738580235768	3697	141.366642353181	36.6365902227204	1	0
6032	141.246531812352	36.5109466279358	3564	141.217667391059	36.4963634139361	3565	141.248486865419	36.5443723335912	3694	141.273440625359	36.4920974506617	1	0
6033	141.343355838856	36.5686539585685	3696	141.336722269132	36.5879505209648	3826	141.388833597285	36.5777387499507	3695	141.304529338262	36.5402576022473	1	0
6034	141.27289557004	36.6115256198705	3437	141.228258650389	36.6022296476279	3567	141.310073493161	36.6403994817779	3566	141.280371679439	36.5919335183116	0.998643147896879	0.0368354734341879
6035	141.401694400054	36.717052936077	3698	141.398506037344	36.6844072936131	3569	141.374746532917	36.7351242878798	3699	141.431831120967	36.7316201949087	1	0
6036	141.277795998062	36.558856737955	3695	141.304529338262	36.5402576022473	3565	141.248486865419	36.5443723335912	3566	141.280371679439	36.5919335183116	1	0
6037	141.275485757443	36.5255780464608	3695	141.304529338262	36.5402576022473	3694	141.273440625359	36.4920974506617	3565	141.248486865419	36.5443723335912	1	0
6038	141.250800818746	36.6705377956782	3439	141.289721870357	36.6987210083102	3438	141.257579597873	36.651064626565	3310	141.205118422128	36.6618126345208	0.991858887381275	0.0899211106867011
6039	141.402066254911	36.8013357256791	3570	141.407983416974	36.782116246356	3441	141.356288887197	36.7930926668337	3571	141.441943946775	36.8287827795243	0.981004070556309	0.136603087505432
6040	141.303096815769	36.659851029236	3438	141.257579597873	36.651064626565	3568	141.341654649941	36.6880740165688	3567	141.310073493161	36.6403994817779	0.998643147896879	0.0368354734341879
6041	141.404853540271	36.7496225861009	3569	141.374746532917	36.7351242878798	3570	141.407983416974	36.782116246356	3699	141.431831120967	36.7316201949087	0.998643147896879	0.0368354734341879
6042	141.316683214199	36.7653436001914	3441	141.356288887197	36.7930926668337	3440	141.322819115141	36.7459880525396	3312	141.270959169651	36.7569347257673	0.991858887381275	0.0899211106867011
